#
#Results from query to  NASA/IPAC Extragalactic Database (NED),
#which is operated by the Jet Propulsion Laboratory, California Institute of
#Technology, under contract with the National Aeronautics and Space Administration.
#This work was (partially) supported by the US National Virtual Observatory
#development project, which is funded by the National Science Foundation
#under cooperative agreement AST0122449 with The Johns Hopkins University.
#
#
#queryDateTime:2017-10-19T10:56:56PDT
#
#
#
#Main Information Table for NED objects within 20.000 arcmin of object NGC 4889
#
#
#
#Equinox:J2000.0
#
#
#
#CoordSystem:Equatorial
#
#No.	Object Name	RA(deg)	DEC(deg)	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Distance (arcmin)	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
30	SDSS J130018.09+275723.7	195.07540 	  27.95660 	G	  6380	 0.021281 	    	15.6g	  2.518	5	0	19	6	4	4	2
31	NGC 4898 NED02	195.07539 	  27.95655 	G	  6371	 0.021251 	    	16.00	  2.519	52	1	9	5	2	0	3
32	COMAi J130019.734+275904.81	195.08231 	  27.98472 	G	  7035	 0.023466 	    	22.9R	  2.608	6	0	3	1	1	0	2
33	SDSS J130020.18+275801.6	195.08410 	  27.96711 	G	  6290	 0.020981 	    	24.0g	  2.727	4	0	8	1	1	3	0
34	SDSS J130016.68+275638.9	195.06950 	  27.94414 	G	  5366	 0.017899 	    	20.28	  2.730	9	0	1	3	2	0	0
35	2MASS J13000711+2755511	195.02969 	  27.93096 	G	  7726	 0.025771 	    	19.20	  2.771	22	0	31	7	3	4	1
36	SDSS J125956.73+275958.1	194.98640 	  27.99948 	G	  6950	 0.023183 	    	23.1g	  2.854	3	0	17	1	1	4	1
37	SDSS J125959.47+275626.0	194.99779 	  27.94056 	G	  6439	 0.021478 	    	17.37	  2.905	37	0	11	9	5	0	0
38	2MASX J13000538+2801282	195.02247 	  28.02445 	G	  5899	 0.019677 	    	16.4g	  2.911	62	0	44	10	10	7	0
39	2MASX J13001890+2800332	195.07867 	  28.00931 	G	  6202	 0.020688 	    	17.8g	  3.065	33	0	45	9	7	6	0
40	COMAi J125953.929+275813.75	194.97472 	  27.97056 	G	  6618	 0.022075 	    	18.63	  3.159	20	0	16	6	2	0	3
41	COMAi J125953.491+275855.68	194.97293 	  27.98216 	G	  6470	 0.021582 	    	23.0R	  3.244	4	0	3	1	1	0	1
42	SDSS J130022.65+275754.9	195.09439 	  27.96526 	G	  5216	 0.017400 	    	19.7g	  3.283	15	0	26	5	2	4	0
43	SDSS J130011.60+275523.0	195.04834 	  27.92307 	G	  6050	 0.020181 	    	23.0g	  3.326	5	0	18	1	1	3	0
44	2MASX J13001877+2756135	195.07823 	  27.93705 	G	  5293	 0.017656 	    	16.66	  3.357	52	1	37	12	9	7	1
45	ABELL 1656:[ABD2005] G01	194.96967 	  27.98544 	GGroup	  6955	 0.023199 	    	     	  3.439	1	0	0	0	0	0	6
46	COMAi J130023.227+275948.91	195.09682 	  27.99694 	G	  6321	 0.021085 	    	21.1R	  3.543	5	0	1	1	1	0	0
47	SDSS J130015.68+280146.3	195.06533 	  28.02954 	G	  6985	 0.023299 	    	21.6g	  3.566	5	0	16	1	1	3	0
48	COMAi J125952.441+275724.32	194.96855 	  27.95678 	G	  6705	 0.022365 	    	23.4R	  3.668	3	0	3	0	1	0	0
49	SDSS J125952.18+275946.3	194.96745 	  27.99621 	G	  8641	 0.028823 	    	21.7g	  3.703	10	0	17	2	1	4	0
50	SDSS J130016.37+275522.2	195.06823 	  27.92284 	G	  4665	 0.015561 	    	20.51	  3.725	9	0	16	3	2	4	0
51	SDSS J130024.85+275921.8	195.10356 	  27.98940 	G	  9217	 0.030745 	    	20.9g	  3.766	10	0	16	3	1	4	1
52	2MASX J12595670+2755483	194.98605 	  27.93003 	G	  7735	 0.025801 	    	16.1g	  3.790	66	0	41	12	14	6	1
53	SDSS J125951.81+275726.3	194.96591 	  27.95731 	G	  5960	 0.019880 	    	21.4g	  3.790	10	0	16	3	2	4	4
54	COMAi J130013.519+280214.57	195.05633 	  28.03738 	G	  5327	 0.017769 	    	19.5r	  3.813	5	0	1	1	1	0	2
55	SDSS J130022.84+280057.1	195.09519 	  28.01586 	G	  9272	 0.030928 	    	21.6g	  3.999	2	0	16	1	1	4	2
56	SDSS J130018.41+275516.9	195.07671 	  27.92136 	G	  8155	 0.027202 	    	19.8r	  4.037	6	0	1	1	1	0	0
57	IC 4021	195.06144 	  28.04130 	G	  5737	 0.019137 	    	15.5g	  4.125	140	3	69	16	17	10	0
58	SDSS J130018.70+275512.6	195.07792 	  27.92017 	G	  6925	 0.023100 	    	20.10	  4.132	15	0	2	5	2	0	0
59	[IBG2003] J130006+280246	195.02779 	  28.04604 	G	  8475	 0.028270 	PHOT	19.8r	  4.155	3	0	0	0	1	0	1
60	COMAi J130025.049+275637.93	195.10443 	  27.94390 	G	  6946	 0.023169 	    	19.9r	  4.234	6	0	1	1	1	0	1
61	Coma Cluster	194.95305 	  27.98069 	GClstr	  6925	 0.023100 	    	13.5J	  4.288	1518	7	31	12	14	0	0
62	SDSS J130026.78+275953.4	195.11158 	  27.99817 	G	  7195	 0.024000 	    	21.4g	  4.309	7	0	16	2	1	4	0
63	SDSS J125948.59+275857.8	194.95246 	  27.98274 	G	  5306	 0.017700 	    	18.6g	  4.327	19	0	28	6	2	4	0
64	NGC 4883	194.98339 	  28.03472 	G	  8181	 0.027289 	    	15.0g	  4.376	122	3	74	14	16	7	1
65	SDSS J130026.16+280032.0	195.10900 	  28.00890 	G	  5528	 0.018440 	    	18.6g	  4.417	19	0	31	6	2	4	0
66	IC 4033	195.11830 	  27.97241 	G	  7713	 0.025728 	    	16.21	  4.482	59	0	39	10	9	7	1
67	SDSS J125955.69+275503.7	194.98204 	  27.91769 	G	  6677	 0.022272 	    	19.60	  4.495	23	0	16	5	3	0	0
68	IC 4030	195.11654 	  27.95598 	G	  6984	 0.023296 	    	16.42	  4.559	77	0	35	14	12	3	0
69	COMAi J125951.272+275554.14	194.96367 	  27.93173 	G	  7153	 0.023860 	    	22.8R	  4.607	3	0	3	0	1	0	1
70	SDSS J130027.33+280033.4	195.11391 	  28.00929 	G	  6428	 0.021441 	    	20.0g	  4.662	13	0	27	3	2	4	0
71	SDSS J130022.90+275515.1	195.09544 	  27.92088 	G	  5270	 0.017579 	    	21.00	  4.689	10	0	16	3	3	4	1
72	[CTM2011] 1038942	194.95025 	  27.95025 	VisS	  6538	 0.021808 	    	22.9R	  4.713	1	0	3	0	1	0	0
73	IC 3998	194.94492 	  27.97385 	G	  9453	 0.031532 	    	15.4g	  4.718	111	1	62	15	15	7	1
74	SDSS J130013.42+280311.8	195.05593 	  28.05329 	G	  8135	 0.027135 	    	18.23	  4.724	25	0	27	5	3	4	0
75	2MASS J12594688+2759308	194.94556 	  27.99192 	G	  8360	 0.027886 	    	18.3g	  4.764	35	0	33	11	4	4	2
76	2MASS J13002482+2755353	195.10342 	  27.92664 	G	  7955	 0.026535 	    	17.5g	  4.766	43	0	33	10	5	4	1
77	COMAi J130029.715+275806.73	195.12379 	  27.96855 	G	  5220	 0.017412 	    	20.82	  4.792	4	0	1	1	1	0	1
78	COMAi J130021.966+280218.24	195.09161 	  28.03855 	G	  8051	 0.026855 	    	20.2R	  4.795	4	0	1	0	1	0	0
79	SDSS J130029.38+275719.4	195.12242 	  27.95540 	G	  7017	 0.023406 	    	23.1g	  4.868	5	0	8	1	1	4	0
80	COMAi J130030.879+275827.64	195.12872 	  27.97443 	G	  6315	 0.021065 	    	23.4R	  5.028	6	0	3	1	1	0	0
81	SDSS J125944.92+275854.2	194.93721 	  27.98174 	G	  7250	 0.024183 	    	23.0g	  5.130	6	0	10	1	1	4	4
82	IC 4026	195.09223 	  28.04701 	G	  8198	 0.027346 	    	15.3g	  5.216	116	1	70	16	17	7	0
83	2MASS J13001117+2803551	195.04641 	  28.06525 	G	  7387	 0.024640 	    	18.05	  5.336	38	0	33	9	5	4	0
84	SDSS J125943.95+275802.0	194.93315 	  27.96724 	G	  7926	 0.026438 	    	22.7g	  5.370	5	0	16	1	1	4	0
85	SDSS J130032.48+275833.2	195.13535 	  27.97592 	G	  8435	 0.028136 	    	19.8g	  5.377	8	0	16	3	2	4	0
86	COMAi J125944.217+275730.29	194.93425 	  27.95851 	G	  6895	 0.023000 	    	     	  5.395	1	0	0	1	1	0	0
87	2MASX J12594423+2757307	194.93419 	  27.95842 	G	  6892	 0.022989 	    	16.2g	  5.399	72	0	45	9	9	6	0
88	COMAi J125944.182+275730.39	194.93407 	  27.95839 	G	  6895	 0.023000 	    	     	  5.406	1	0	10	2	1	0	0
89	COMAi J130032.579+275910.36	195.13577 	  27.98626 	G	  6538	 0.021808 	    	22.5R	  5.428	5	0	3	1	1	0	1
90	GIN 786	194.93219 	  27.99469 	G	  6688	 0.022309 	    	15.9g	  5.491	101	1	43	12	17	5	1
91	[APS2006] J195.049881+28.06775	195.04988 	  28.06775 	G	  7104	 0.023696 	    	21.8R	  5.511	2	0	1	0	1	0	1
92	SDSS J125949.12+275501.7	194.95469 	  27.91716 	G	  6805	 0.022700 	    	20.7r	  5.523	6	0	26	1	1	4	0
93	SDSS J125950.18+275445.4	194.95909 	  27.91264 	G	  7250	 0.024184 	    	18.2g	  5.534	34	0	31	10	5	4	0
94	COMAi J125943.054+275845.74	194.92937 	  27.97939 	G	  7346	 0.024504 	    	22.6R	  5.539	4	0	3	1	1	0	2
95	SDSS J130023.47+280301.9	195.09779 	  28.05053 	G	  7076	 0.023603 	    	20.95	  5.561	8	0	1	2	2	0	0
96	COMAi J130032.287+280012.87	195.13458 	  28.00366 	G	  4681	 0.015614 	    	22.8R	  5.570	5	0	3	1	1	0	0
97	2MASX J13001702+2803502	195.07095 	  28.06391 	G	  6152	 0.020521 	    	16.1g	  5.572	76	0	53	12	9	7	0
98	2MASX J13002172+2753545	195.09028 	  27.89856 	G	  4890	 0.016311 	    	17.42	  5.576	39	0	41	11	6	6	0
99	COMAi J130029.807+280136.36	195.12428 	  28.02688 	G	  6896	 0.023003 	    	22.3R	  5.648	3	0	3	0	1	0	0
100	SDSS J130021.38+280327.3	195.08911 	  28.05761 	G	  7870	 0.026251 	    	22.8g	  5.653	2	0	16	1	1	4	1
101	SDSS J130014.15+280407.4	195.05896 	  28.06872 	G	  7255	 0.024200 	    	20.22	  5.661	11	0	2	3	0	0	0
102	SDSS J130030.06+280134.8	195.12527 	  28.02635 	G	  6588	 0.021975 	    	20.6r	  5.675	7	0	16	1	1	4	0
103	SDSS J125942.92+275954.6	194.92886 	  27.99851 	G	  8497	 0.028343 	    	20.9g	  5.712	4	0	16	2	1	4	2
104	2MASX J12595760+2803543	194.99005 	  28.06510 	G	  5822	 0.019420 	    	17.2g	  5.773	41	0	40	6	5	6	0
105	SDSS J130034.32+275817.6	195.14301 	  27.97157 	G	  7817	 0.026075 	    	20.6r	  5.792	7	0	16	1	1	4	0
106	SDSS J125941.89+275848.9	194.92458 	  27.98027 	G	  7366	 0.024570 	    	23.6g	  5.794	5	0	10	1	1	3	0
107	COMAi J125944.017+275615.31	194.93337 	  27.93763 	G	  7316	 0.024404 	    	21.5R	  5.827	5	0	1	1	1	0	0
108	SDSS J125941.69+275841.9	194.92372 	  27.97832 	*	  6982	 0.023289 	    	24.4g	  5.837	3	0	8	1	1	3	0
109	SDSS J125943.53+275620.6	194.93140 	  27.93908 	G	  7135	 0.023800 	    	20.5g	  5.888	15	0	17	5	1	4	1
110	COMAi J130031.773+280121.93	195.13246 	  28.02287 	G	  8123	 0.027095 	    	23.1R	  5.904	5	0	3	0	1	0	0
111	SA 1656-069	195.05208 	  28.07500 	GGroup	  7493	 0.024994 	    	18.03	  5.959	1	0	0	0	0	0	4
112	MCXC J1259.7+2756	194.92958 	  27.93861 	GClstr	  6925	 0.023100 	    	16   	  5.988	14	0	0	1	3	0	1
113	2MASX J13001286+2804322	195.05360 	  28.07550 	G	  7506	 0.025037 	    	15.9g	  6.002	74	0	45	12	16	7	1
114	IC 4012	195.03329 	  28.07857 	G	  7268	 0.024243 	    	15.4g	  6.094	134	2	74	14	19	6	0
115	SDSS J125941.20+275711.0	194.92171 	  27.95307 	G	  6955	 0.023199 	    	22.5g	  6.115	5	0	20	1	1	3	0
116	SDSS J125942.27+280054.6	194.92616 	  28.01518 	G	  7934	 0.026465 	    	20.2r	  6.150	7	0	18	2	1	4	0
117	2MASS J12594026+2758058	194.91780 	  27.96824 	G	  7531	 0.025121 	    	16.7g	  6.173	63	0	35	10	12	4	0
118	COMAi J125940.409+275731.15	194.91841 	  27.95868 	G	  6867	 0.022906 	    	22.1R	  6.217	7	0	5	1	1	0	1
119	SDSS J130020.39+280413.9	195.08497 	  28.07055 	G	  6685	 0.022300 	    	20.0g	  6.231	12	0	17	3	1	4	0
120	COMAi J130036.414+275824.55	195.15176 	  27.97358 	G	  6436	 0.021468 	    	22.7R	  6.250	5	0	3	1	1	0	1
121	COMAi J130019.310+280422.03	195.08055 	  28.07289 	G	  7349	 0.024514 	    	21.8R	  6.262	5	0	1	1	1	0	0
122	2MASS J13003442+2756047	195.14342 	  27.93469 	G	  8356	 0.027873 	    	18.50	  6.336	28	0	16	10	5	0	2
123	COMAi J125939.402+275840.08	194.91425 	  27.97784 	G	  8816	 0.029407 	    	21.6R	  6.339	5	0	5	1	1	0	3
124	SDSS J130035.42+275633.9	195.14758 	  27.94278 	G	  6958	 0.023210 	    	18.0g	  6.366	34	0	18	8	6	0	0
125	CXO J125939.8+275716	194.91591 	  27.95462 	G	  7915	 0.026400 	    	16.4g	  6.394	2	0	0	0	1	0	0
126	COMAi J130037.179+275807.37	195.15495 	  27.96881 	G	  6819	 0.022746 	    	23.7R	  6.435	3	0	3	0	1	0	1
127	2MASS J12593965+2757141	194.91524 	  27.95391 	G	  8029	 0.026782 	    	15.4 	  6.438	82	0	40	12	12	5	0
128	SDSS J130001.03+280454.7	195.00429 	  28.08186 	G	  7765	 0.025900 	    	17.4i	  6.484	7	0	4	2	0	0	0
129	CGCG 160-233	194.92626 	  27.92473 	G	  6900	 0.023016 	    	16.1g	  6.509	110	1	51	14	16	6	0
130	SDSS J125939.22+275954.7	194.91343 	  27.99853 	*	  7075	 0.023600 	    	20.9g	  6.511	7	0	9	2	1	4	1
131	NGC 4876	194.93502 	  27.91246 	G	  6678	 0.022275 	    	15.1g	  6.515	164	3	64	15	21	10	0
132	COMAi J125938.946+275733.19	194.91234 	  27.95928 	G	  6558	 0.021875 	    	22.6R	  6.528	3	0	3	0	1	0	4
133	SDSS J130037.83+275840.9	195.15764 	  27.97804 	G	  4845	 0.016161 	    	22.6g	  6.558	7	0	9	1	2	4	1
134	[AGO2007] IPN 224	194.93229 	  27.91444 	EmLS	  6364	 0.021228 	    	     	  6.563	2	0	1	0	1	0	3
135	2MASX J12593827+2759137	194.90966 	  27.98720 	G	  6776	 0.022602 	    	16.4g	  6.610	67	0	42	9	11	7	0
136	MRK 0060 NED01	195.03821 	  27.86656 	G	  5136	 0.017132 	    	15.9g	  6.631	55	0	53	7	7	6	0
137	MRK 0060	195.04083 	  27.86611 	GPair	  5128	 0.017105 	    	16.0 	  6.664	57	3	31	4	6	3	0
138	SDSS J130013.63+275201.8	195.05679 	  27.86719 	G	  7451	 0.024854 	    	17.16	  6.699	33	0	16	5	4	0	0
139	COMAi J125938.623+275658.69	194.91100 	  27.94969 	G	  6718	 0.022409 	    	21.3R	  6.715	5	0	3	0	1	0	1
140	2MASS J12593798+2800036	194.90828 	  28.00102 	G	  4924	 0.016425 	    	17.4g	  6.808	49	0	38	10	5	4	1
141	SDSS J130030.94+280312.8	195.12892 	  28.05356 	G	  7395	 0.024667 	    	21.3g	  6.815	6	0	16	4	1	4	0
142	SDSS J130020.27+280453.2	195.08450 	  28.08145 	G	  8128	 0.027112 	    	21.3g	  6.817	7	0	16	2	1	4	0
143	2MASS J12593720+2758203	194.90500 	  27.97220 	G	  7615	 0.025400 	    	18.98	  6.835	15	0	26	7	2	4	0
144	COMAi J125938.081+275656.49	194.90866 	  27.94910 	G	  6128	 0.020441 	    	21.7R	  6.844	5	0	1	1	1	0	1
145	2MASX J12595140+2804232	194.96442 	  28.07347 	G	  7457	 0.024874 	    	17.1g	  6.858	37	0	26	5	5	2	0
146	SDSS J130036.58+275552.2	195.15244 	  27.93118 	G	  5906	 0.019700 	    	19.5g	  6.859	17	0	26	5	2	4	1
147	SDSS J125939.15+280110.7	194.91316 	  28.01965 	G	  7589	 0.025314 	    	22.3g	  6.888	6	0	18	1	1	3	0
148	SDSS J125943.36+275422.0	194.93069 	  27.90613 	G	  6440	 0.021481 	    	21.4g	  6.928	4	0	16	1	1	4	0
149	SDSS J130039.32+275748.4	195.16385 	  27.96346 	G	  6599	 0.022012 	    	21.7g	  6.935	3	0	16	1	1	4	1
150	SDSS J125958.09+275157.9	194.99206 	  27.86611 	G	  8634	 0.028800 	    	19.9g	  7.013	8	0	17	2	0	4	2
151	SDSS J130035.99+275505.4	195.14998 	  27.91819 	G	  6946	 0.023169 	    	21.3g	  7.094	7	0	16	2	2	4	0
152	SDSS J125936.03+275805.1	194.90015 	  27.96810 	G	  6929	 0.023113 	    	23.7g	  7.106	5	0	10	1	1	4	3
153	SDSS J130039.10+280035.5	195.16293 	  28.00986 	G	  5932	 0.019787 	    	19.2g	  7.116	13	0	28	4	2	4	0
154	COMAi J130039.963+275948.58	195.16649 	  27.99672 	G	  6641	 0.022152 	    	21.5R	  7.125	4	0	1	1	1	0	1
155	2MASX J13003877+2800516	195.16151 	  28.01453 	G	  7537	 0.025141 	    	15.80	  7.127	68	0	39	11	12	6	0
156	NGC 4874	194.89878 	  27.95927 	G	  7176	 0.023937 	    	12.7b	  7.238	571	17	116	29	34	11	6
157	[DZ2015] 708	194.89700 	  27.97600 	GGroup	  4720	 0.015743 	    	     	  7.253	1	0	0	1	1	0	0
158	COMAi J125935.227+275850.13	194.89685 	  27.98067 	G	  7355	 0.024534 	    	22.2R	  7.264	4	0	1	0	1	0	0
159	COMAi J130036.125+280228.36	195.15057 	  28.04134 	G	  6544	 0.021828 	    	23.5R	  7.288	3	0	3	0	1	0	0
160	2MASS J12593699+2801074	194.90419 	  28.01861 	G	  7293	 0.024327 	    	18.3g	  7.310	25	0	41	7	3	4	0
161	IC 4041	195.17021 	  27.99661 	G	  7112	 0.023723 	    	15.4g	  7.319	117	2	56	16	19	11	0
162	SDSS J125944.68+275323.2	194.93623 	  27.88977 	G	  6847	 0.022839 	    	18.35	  7.361	27	0	41	7	3	4	0
163	SDSS J130012.32+280557.9	195.05135 	  28.09942 	G	  7765	 0.025900 	    	19.8r	  7.403	5	0	25	1	1	4	0
164	WBL 426	194.93125 	  27.89306 	GGroup	  6931	 0.023120 	    	23.16	  7.414	2	0	0	0	0	0	0
165	SDSS J125936.19+280111.8	194.90079 	  28.01995 	G	  7578	 0.025277 	    	23.1g	  7.506	6	0	8	1	1	3	1
166	SDSS J125934.39+275942.9	194.89331 	  27.99527 	G	  5225	 0.017429 	    	21.2g	  7.528	10	0	16	3	2	4	1
167	SDSS J130037.30+275441.0	195.15545 	  27.91142 	G	  6086	 0.020300 	    	20.2g	  7.550	15	0	17	5	2	4	0
168	2MASS J13001857+2805503	195.07729 	  28.09717 	G	  7825	 0.026102 	    	17.7g	  7.568	31	0	7	8	6	0	0
169	ABELL 1656:[BDG95] +0085-0422 	194.96500 	  28.08778 	G	  9276	 0.030941 	    	     	  7.582	2	0	0	0	1	0	0
170	COMAi J130036.560+280255.67	195.15222 	  28.04893 	G	  7506	 0.025037 	    	21.0R	  7.611	4	0	1	0	1	0	2
171	2MASSCL J1259+2755	194.90000 	  27.93000 	GClstr	  6895	 0.023000 	    	     	  7.635	1	0	0	1	1	0	0
172	IC 4042	195.17821 	  27.97139 	G	  6392	 0.021321 	    	14.9g	  7.656	124	2	79	16	13	7	0
173	COMAi J125934.046+280006.94	194.89195 	  28.00206 	G	  8977	 0.029944 	    	23.3R	  7.668	3	0	3	0	1	0	1
174	SDSS J130039.75+275526.1	195.16566 	  27.92395 	PofG	  7503	 0.025028 	    	14.9g	  7.676	10	0	15	2	4	4	1
175	NGC 4906	195.16570 	  27.92390 	G	  7521	 0.025087 	    	14.9g	  7.679	139	2	48	14	17	3	1
176	SDSS J125935.18+275605.0	194.89658 	  27.93473 	G	  4193	 0.013986 	    	18.6g	  7.706	18	0	26	4	2	4	0
177	SDSS J130042.83+275747.1	195.17848 	  27.96311 	G	  8428	 0.028114 	    	15.6g	  7.708	6	0	15	3	2	4	1
178	IC 4042A	195.17850 	  27.96311 	G	  8366	 0.027906 	    	15.7g	  7.709	89	0	25	8	12	3	1
179	NGC 4872	194.89183 	  27.94694 	G	  7193	 0.023993 	    	15.2g	  7.741	155	3	54	11	20	8	1
180	SDSS J125932.77+275831.4	194.88655 	  27.97540 	G	  7436	 0.024804 	    	23.7g	  7.807	4	0	8	1	1	4	0
181	NGC 4873	194.88664 	  27.98360 	G	  5789	 0.019310 	    	15.1g	  7.811	134	1	82	16	20	11	0
182	COMAi J125933.270+275715.50	194.88863 	  27.95431 	GTrpl	  7075	 0.023600 	    	26.84	  7.817	2	0	0	0	0	0	10
183	NGC 4875	194.90795 	  27.90733 	G	  8045	 0.026835 	    	15.4g	  7.876	105	2	59	13	17	7	0
184	RSCG 67	194.88659 	  27.95756 	GGroup	  7195	 0.024000 	    	     	  7.892	2	0	0	1	0	0	16
185	COMAi J130043.724+275920.89	195.18221 	  27.98921 	G	  4840	 0.016144 	    	21.0R	  7.893	5	0	1	1	1	0	0
186	COMAi J125931.729+275748.12	194.88226 	  27.96344 	G	  8860	 0.029554 	    	21.7R	  8.075	5	0	1	1	1	0	0
187	2MASX J12595178+2805542	194.96567 	  28.09853 	G	  7634	 0.025464 	    	17.3g	  8.137	33	0	27	5	5	6	0
188	IC 4040	195.15804 	  28.05736 	G	  7840	 0.026151 	    	15.36	  8.155	165	5	101	14	15	11	0
189	SDSS J130037.86+280329.1	195.15805 	  28.05831 	G	  7632	 0.025458 	    	14.9R	  8.189	11	0	0	3	3	0	0
190	SDSS J125931.13+275717.6	194.87971 	  27.95492 	G	  7074	 0.023596 	    	18.0g	  8.277	18	0	9	5	4	0	2
191	SDSS J125935.96+275422.0	194.89987 	  27.90612 	G	  9054	 0.030200 	    	18.7g	  8.279	11	0	28	4	2	4	2
192	COMAi J125930.702+275925.76	194.87804 	  27.99056 	G	  7620	 0.025418 	    	23.2R	  8.297	3	0	3	0	1	0	1
193	2MASS J13004119+2802424	195.17164 	  28.04512 	G	  8826	 0.029440 	    	18.63	  8.364	30	0	31	9	4	4	0
194	2MASX J12594422+2752037	194.93422 	  27.86769 	G	  6196	 0.020668 	    	17.1g	  8.422	41	0	37	6	6	6	0
195	2MASX J13002014+2750365	195.08404 	  27.84350 	G	  7883	 0.026295 	    	17.5g	  8.440	28	0	31	5	5	2	0
196	NGC 4871	194.87485 	  27.95643 	G	  6729	 0.022445 	    	14.9g	  8.517	122	1	59	19	19	8	1
197	SDSS J125947.76+280552.4	194.94904 	  28.09789 	G	  6398	 0.021340 	    	18.3g	  8.532	14	0	17	5	2	4	0
